105,8,0,1.3503e-19,NaN
106,14,0,3.3255e-21,NaN
107,NaN,NaN,NaN,NaN
108,41,0.23049,2.2391,0.99968
109,7,0.61905,0.29723,0.99958
110,5,0.7,0.28211,0.99909
111,NaN,NaN,NaN,NaN
112,40,0,1.7306e-27,NaN
113,8,0.21429,0.25443,0.99941
114,36,5.8754,18.92,0.99869
115,5,0,4.6113e-13,NaN
116,16,0.0625,2.6693e-05,1
117,18,1.1536,3.9129,0.99772
118,NaN,NaN,NaN,NaN
120,5,0,0.00048782,NaN
121,41,0,2.0975e-16,NaN
122,12,0.60606,1.2965e-06,1
123,34,63.501,128.99,0.99333
125,18,18.016,19.161,0.99651
126,11,0,7.3081e-11,NaN
127,NaN,NaN,NaN,NaN
128,7,0.61905,0.41257,0.9992
129,21,0.047619,2.5547e-08,1
130,9,1.6111,0.42093,0.99985
131,5,0.3,0.18848,0.99905
132,25,23.333,76.693,0.98387
133,24,0.1721,2.8775,0.99652
134,5,0,4.6113e-13,NaN
135,26,0,3.4294e-22,NaN
136,17,0,4.6683e-18,NaN
137,47,0.14061,5.9371,0.99759
138,36,0,3.9759e-25,NaN
140,30,0,5.621e-23,NaN
141,15,0.066667,3.0437,0.95882
142,24,0.57971,1.4563,0.99974
143,41,0.5561,1.5583,0.99994
144,23,0,7.3212e-22,NaN
145,9,0,7.1857e-12,NaN
147,41,0,2.0975e-16,NaN
148,7,0,7.8584e-22,NaN
149,11,0,7.3081e-11,NaN
151,31,0,2.9952e-23,NaN
153,21,0.1619,0.63789,0.99973
154,36,29.279,620.49,0.71816
155,27,0,2.5161e-22,NaN
156,7,0,7.8584e-22,NaN
157,12,0,3.4115e-15,NaN
158,4,0,6.2092e-17,NaN
159,7,0,7.8584e-22,NaN
160,8,0,1,NaN
161,20,1.1684,5.285,0.99701
162,32,0,9.6055e-08,NaN
163,NaN,NaN,NaN,NaN
164,21,0,7.7419e-22,NaN
165,4,0,6.2092e-17,NaN
166,8,0.26786,0.83336,0.99494
167,3,0,1.8506,NaN
168,14,0,3.3255e-21,NaN
169,18,5.5556,41.606,0.94657
170,11,0,7.3081e-11,NaN
171,20,0.87105,2.0871,0.99937
172,5,0,4.6113e-13,NaN
